Player,Position,FP,FP/GP,Rank,
Oliver Ekman-Larsson,D,95,2,391,
Jake Walman,D,95,2,392,
Kyle Okposo,RW,94,2,393,
Matt Roy,D,94,2,394,
Nicolas Hague,D,94,2,395,
Tyler Johnson,C/RW,94,2,396,
Jonathan Drouin,C/LW,94,2,397,
Luke Kunin,C/RW,94,2,398,
Jake McCabe,D,94,2,399,
Adam Pelech,D,94,2,400,
Erik Cernak,D,94,2,401,
Cody Ceci,D,94,2,402,
Nate Schmidt,D,93,2,403,
Chris Tanev,D,93,2,404,
Kaapo Kahkonen,G,93,4,405,
Damon Severson,D,93,2,406,
Travis Hamonic,D,93,2,407,
Artem Zub,D,93,2,408,
Brock McGinn,LW/RW,93,2,409,
Ian Cole,D,93,2,410,
Nick Jensen,D,93,2,411,
Eric Staal,C,92,2,412,
Yakov Trenin,LW,92,2,413,
Evgeny Dadonov,LW/RW,92,2,414,
Jonas Siegenthaler,D,92,2,415,
Jesper Fast,RW,92,2,416,
Barclay Goodrow,C/LW,92,2,417,
Denis Gurianov,LW/RW,92,2,418,
Antti Raanta,G,92,5,419,
Dante Fabbro,D,91,2,420,
Ryan McDonagh,D,91,2,421,
Sam Gagner,C/LW,91,2,422,
Kasperi Kapanen,LW/RW,91,2,423,
Nathan Bastian,RW,91,2,424,
K'andre Miller,D,91,2,425,
Sonny Milano,LW,90,2,426,
Adam Erne,LW/RW,90,2,427,
Filip Gustavsson,G,90,5,428,
Caleb Jones,D,90,2,429,
Jesse Puljujarvi,RW,90,2,430,
Jimmy Vesey,LW,89,2,431,
Alexis Lafrenière,LW,89,2,432,
Brandon Carlo,D,89,2,433,
Ryan Suter,D,88,2,434,
Brenden Dillon,D,88,2,435,
Calvin Petersen,G,88,5,436,
Mike Reilly,D,88,2,437,
Trent Frederic,C/LW,88,2,438,
Tyler Motte,LW/RW,88,2,439,
Dan Vladar,G,88,5,440,
Jesperi Kotkaniemi,C,88,2,441,
Juraj Slafkovsky,LW,87,2,442,
MacKenzie Blackwood,G,87,5,443,
Zach Whitecloud,D,87,2,444,
Michael Stone,D,87,2,445,
Ryan Lindgren,D,87,2,446,
Ty Dellandrea,C/RW,87,2,447,
Petr Mrazek,G,87,4,448,
Ryan Donato,C/LW,87,2,449,
Jan Rutta,D,87,2,450,
Jakob Silfverberg,RW,86,2,451,
Filip Zadina,LW/RW,86,2,452,
John Marino,D,86,2,453,
Luke Schenn,D,86,2,454,
Sean Kuraly,C/LW,86,2,455,
Henri Jokiharju,D,85,2,456,
Calle Jarnkrok,LW/RW,85,2,457,
Matt Nieto,LW/RW,85,2,458,
Alex Romanov,D,85,2,459,
Nikita Zadorov,D,85,2,460,
Tyler Myers,D,85,2,461,
Tj Brodie,D,84,2,462,
Ryan McLeod,C,84,2,463,
Nils Hoglander,LW/RW,84,2,464,
Jamie Oleksiak,D,84,2,465,
Derick Brassard,C/LW,84,2,466,
Nick Cousins,LW/RW,84,2,467,
Ethan Bear,D,83,2,468,
Carson Soucy,D,83,2,469,
Phil Kessel,RW,83,2,470,
Alex Nedeljkovic,G,83,4,471,
Brian Dumoulin,D,82,2,472,
Scott Wedgewood,G,82,5,473,
Brett Kulak,D,82,2,474,
Cody Glass,C/RW,82,2,475,
Dylan Demelo,D,82,2,476,
Paul Stastny,C/LW,82,2,477,
Eric Robinson,LW/RW,82,2,478,
Alex Carrier,D,82,2,479,
Pierre-Olivier Joseph,D,82,2,480,
Adam Boqvist,D,82,2,481,
Rasmus Ristolainen,D,82,2,482,
Radko Gudas,D,82,2,483,
Pius Suter,C/RW,81,2,484,
Semyon Varlamov,G,81,5,485,
Mario Ferraro,D,81,2,486,
Noah Gregor,C/RW,81,2,487,
Nils Lundkvist,D,81,2,488,
Joel Armia,LW/RW,81,2,489,
David Kampf,C/RW,81,2,490,
Denis Malgin,C/LW/RW,81,2,491,
Connor Murphy,D,81,2,492,
Yegor Chinakhov,LW/RW,80,2,493,
Derek Forbort,D,80,2,494,
Mattias Janmark,C/LW,80,2,495,
Danton Heinen,LW/RW,80,2,496,
Connor Clifton,D,80,2,497,
Martin Fehervary,D,79,2,498,
Patric Hornqvist,RW,79,2,499,
Matt Benning,D,79,2,500,
Jaycob Megna,D,79,2,501,
Charlie Lindgren,G,79,5,502,
Brett Howden,C/LW,79,2,503,
Trevor Van Riemsdyk,D,79,2,504,
Jujhar Khaira,C/LW,78,2,505,
Josh Manson,D,78,2,506,
Jordan Harris,D,78,2,507,
Mikey Anderson,D,78,2,508,
Jason Dickinson,C/LW,78,1,509,
Nick Foligno,LW/RW,78,2,510,
Derek Grant,C,77,2,511,
Kyle Burroughs,D,77,2,512,
Anthony Stolarz,G,77,4,513,
Andrew Cogliano,LW,77,1,514,
Christian Fischer,RW,77,1,515,
Sam Montembeault,G,76,4,516,
Dylan Samberg,D,76,2,517,
Colton Sissons,C/RW,76,1,518,
Nikita Zaitsev,D,76,2,519,
Alex Edler,D,76,2,520,
Sean Walker,D,75,2,521,
Jani Hakanpaa,D,75,2,522,
Andrew Peeke,D,75,2,523,
Michael McLeod,C,75,2,524,
Garnet Hathaway,RW,75,2,525,
Dmitry Kulikov,D,75,2,526,
Blake Lizotte,C,75,2,527,
Jake Bean,D,75,1,528,
Colin White (C),C/RW,75,2,529,
Nick Leddy,D,74,2,530,
Vasily Podkolzin,RW,74,1,531,
Connor Dewar,C,74,1,532,
Jake Evans,C/RW,74,1,533,
Thomas Greiss,G,74,5,534,
Ryan Lomberg,LW,73,1,535,
Saku Maenalanen,RW,73,1,536,
Vladislav Namestnikov,C/LW,73,1,537,
Johnathan Kovacevic,D,73,1,538,
Olli Maatta,D,73,1,539,
Nic Dowd,C/RW,72,2,540,
Dakota Joshua,C,72,1,541,
Curtis Lazar,C/RW,72,1,542,
Calle Rosen,D,72,1,543,
Warren Foegele,LW/RW,72,1,544,
Zack MacEwen,C/RW,71,1,545,
Braden Schneider,D,71,1,546,
Connor Ingram,G,71,4,547,
Cole Sillinger,C,71,1,548,
Ryan Poehling,C,70,1,549,
Ryan Poehling,C,70,1,550,
Trevor Lewis,C/RW,70,1,551,
Josh Mahura,D,70,1,552,
Marc Staal,D,70,1,553,
Riley Stillman,D,69,1,554,
Zemgus Girgensons,LW/RW,69,1,555,
Derek Ryan,C,69,1,556,
Zach Aston-Reese,LW/RW,69,1,557,
Erik Brannstrom,D,68,1,558,
Barrett Hayton,C/LW,68,1,559,
Casey Cizikas,C,68,1,560,
Marc-Edouard Vlasic,D,68,1,561,
Joonas Korpisalo,G,68,4,562,
Jamie Drysdale,D,68,1,563,
Jaroslav Halak,G,67,5,564,
Jon Merrill,D,67,1,565,
Brian Elliott,G,67,5,566,
Jack McBain,C,67,1,567,
Brendan Smith,D,67,1,568,
Austin Watson,LW/RW,67,1,569,
Max Comtois,LW/RW,67,1,570,
Felix Sandstrom,G,66,4,571,
Morgan Geekie,C,66,1,572,
Sam Lafferty,C,66,1,573,
Colin Miller,D,65,1,574,
Mark Kastelic,C,65,1,575,
Jordan Oesterle,D,65,1,576,
Carl Grundstrom,LW/RW,64,1,577,
Jack Johnson,D,64,1,578,
Kale Clague,D,64,1,579,
Keegan Kolesar,RW,64,1,580,
Robert Hagg,D,64,1,581,
Tomas Nosek,C/LW,64,1,582,
Kevin Lankinen,G,64,5,583,
Evgeny Svechnikov,LW,64,1,584,
Cal Foote,D,63,1,585,
Simon Benoit,D,63,1,586,
Radek Faksa,C,63,1,587,
Joe Veleno,C,62,1,588,
Isac Lundestrom,C/LW,62,1,589,
Parker Kelly,C,62,1,590,
Troy Stecher,D,62,1,591,
Calvin De Haan,D,62,1,592,
David Rittich,G,62,5,593,
Josh Brown,D,61,1,594,
Colin Blackwell,LW/RW,61,1,595,
Josh Archibald,LW/RW,61,1,596,
Nick Holden,D,61,1,597,
Rasmus Asplund,C/RW,61,1,598,
Joel Kiviranta,RW,61,1,599,
Derek Stepan,C,60,1,600,
Gavin Bayreuther,D,60,1,601,
Niko Mikkola,D,60,1,602,
Matt Irwin,D,59,1,603,
Pierre-Edouard Bellemare,C/LW,58,1,604,
Mathieu Olivier,RW,58,1,605,
Max Jones,LW,58,1,606,
A.J. Greer,LW,58,1,607,
Jaret Anderson-Dolan,C,58,1,608,
Radim Simek,D,58,1,609,
Jesper Boqvist,LW/RW,58,1,610,
Patrick Maroon,LW/RW,58,1,611,
Chad Ruhwedel,D,58,1,612,
Luke Glendening,C/RW,57,1,613,
Nils Aman,C,57,1,614,
Cal Clutterbuck,RW,57,1,615,
Brett Leason,C/RW,57,1,616,
Axel Jonsson-Fjallby,LW,57,1,617,
Patrik Nemeth,D,57,1,618,
Peyton Krebs,LW,56,1,619,
Nick Seeler,D,55,1,620,
David Gustafsson,C,54,1,621,
Cole Smith,LW,53,1,622,
Michael Amadio,C,53,1,623,
Jarred Tinordi,D,53,1,624,
Milan Lucic,LW,53,1,625,
Justin Braun,D,52,1,626,
Urho Vaakanainen,D,52,1,627,
Nathan Walker,C/LW,52,1,628,
Ilya Lyubushkin,D,51,1,629,
Zach Bogosian,D,51,1,630,
Matt Martin,LW,51,1,631,
Devin Shore,C/LW,51,1,632,
Jalen Chatfield,D,50,1,633,
Liam O'Brien,C,50,1,634,
Steven Lorentz,C/RW,50,1,635,
Jeremy Lauzon,D,49,1,636,
Brett Ritchie,RW,49,1,637,
Egor Zamula,D,48,1,638,
Juuso Valimaki,D,48,1,639,
Sammy Blais,LW/RW,48,1,640,
Jacob MacDonald,D,47,1,641,
