Player,Position,PreVORP,RichVal
Lawson Crouse,"LW,RW",190.31319615028593,-54.68680384971407
Scott Laughton,"C,LW",207.78022416503947,-47.21977583496053
Noah Dobson,D,290.9123834510047,70.9123834510047
Dawson Mercer,"C,RW",237.9260850333652,-7.0739149666347885
Jean-Gabriel Pageau,C,213.22380948728238,-56.77619051271762
Bryan Rust,RW,265.38572665833476,20.38572665833476
Tomas Tatar,"LW,RW",204.47404825277192,-40.52595174722808
Tom Wilson,RW,205.3894049447503,-39.61059505524969
Mason McTavish,"C,LW",186.67789425342735,-68.32210574657265
Drew Doughty,D,252.33304005639062,32.333040056390615
Charlie McAvoy,D,319.63891298262877,99.63891298262877
Ilya Mikheyev,"LW,RW",200.31406769940494,-44.685932300595056
Brock Boeser,RW,252.14622566056613,7.146225660566131
Tony DeAngelo,D,250.22210746109442,30.222107461094424
Esa Lindell,D,200.55998433209243,-19.440015667907574
