Player,RichVal,RichValRank,RotoWireRank,DifferenceRoto,DomRank,DifferenceDom,DynastyRank,Difference Dynasty,,,,50
Noah Hanifin,-11.64999608,191,209,TRUE,146,TRUE,#N/A,#N/A,,,,
Ryan Hartman,-12.61172608,192,69,FALSE,180,TRUE,#N/A,#N/A,,,,
Craig Anderson,-13.57967972,193,#N/A,#N/A,159,TRUE,#N/A,#N/A,,,,
Viktor Arvidsson,-14.43768709,194,167,TRUE,161,TRUE,179,TRUE,,,,
Jeff Skinner,-15.06953174,195,110,FALSE,199,TRUE,#N/A,#N/A,,,,
Bowen Byram,-15.79619137,196,#N/A,#N/A,217,TRUE,174,TRUE,,,,
Alex Tuch,-15.98594209,197,125,FALSE,182,TRUE,#N/A,#N/A,,,,
Nick Schmaltz,-16.08549339,198,161,TRUE,186,TRUE,208,TRUE,,,,
Valeri Nichushkin,-16.36165843,199,137,FALSE,156,TRUE,#N/A,#N/A,,,,
Colton Parayko,-16.50915373,200,#N/A,#N/A,184,TRUE,#N/A,#N/A,,,,
Jared McCann,-17.761659,201,183,TRUE,219,TRUE,192,TRUE,,,,
Mattias Ekholm,-18.87118827,202,263,FALSE,195,TRUE,#N/A,#N/A,,,,
Ryan Graves,-20.01949108,203,#N/A,#N/A,221,TRUE,#N/A,#N/A,,,,
Jonas Brodin,-20.29685191,204,#N/A,#N/A,181,TRUE,#N/A,#N/A,,,,
Samuel Girard,-21.55981921,205,#N/A,#N/A,215,TRUE,167,TRUE,,,,
Matt Dumba,-21.71094162,206,282,FALSE,167,TRUE,136,FALSE,,,,
Damon Severson,-21.96342509,207,235,TRUE,168,TRUE,#N/A,#N/A,,,,
Shayne Gostisbehere,-22.91534505,208,266,FALSE,149,FALSE,229,TRUE,,,,
Mike Matheson,-23.35689987,209,#N/A,#N/A,143,FALSE,#N/A,#N/A,,,,
Dmitry Orlov,-23.90500792,210,274,FALSE,200,TRUE,#N/A,#N/A,,,,
Vince Dunn,-24.21563504,211,299,FALSE,116,FALSE,202,TRUE,,,,
Logan Couture,-24.50438488,212,151,FALSE,204,TRUE,149,FALSE,,,,
Erik Karlsson,-24.87670501,213,#N/A,#N/A,111,FALSE,230,TRUE,,,,
Jamie Drysdale,-26.06274874,214,#N/A,#N/A,214,TRUE,175,TRUE,,,,
Brady Skjei,-29.15314096,215,265,FALSE,198,TRUE,#N/A,#N/A,,,,
Gustav Forsling,-30.27540318,216,242,TRUE,194,TRUE,#N/A,#N/A,,,,
Brett Pesce,-32.39751421,217,#N/A,#N/A,209,TRUE,#N/A,#N/A,,,,
Sean Durzi,-34.66816764,218,293,FALSE,208,TRUE,#N/A,#N/A,,,,
Oliver Ekman-Larsson,-35.87485033,219,281,FALSE,193,TRUE,204,TRUE,,,,
Filip Hronek,-37.844721,220,#N/A,#N/A,218,TRUE,196,TRUE,,,,
Cam Fowler,-39.68419287,221,#N/A,#N/A,213,TRUE,#N/A,#N/A,,,,
Brandon Montour,-40.89020253,222,259,TRUE,210,TRUE,#N/A,#N/A,,,,
Chris Wideman,-59.31116335,223,#N/A,#N/A,220,TRUE,#N/A,#N/A,,,,
